id	base	deixis	deixis_word	level	level_name	prompt
P01A_X_L1_technical	P01	A	this	L1	technical	This HVAC system regulates indoor temperature by circulating air through this network of ducts, filters, coils, dampers, and fans. This thermostat compares the measured room temperature to this target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning this building currently requires. Sensors track temperature, pressure, airflow, and humidity so this controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements. This water treatment system processes incoming flow through a sequence of filtration stages. Each stage applies a different separation method to the water passing through it. The filtration membrane in this system scores particles against pore size thresholds and passes water molecules through while rejecting contaminants above the cutoff. The rejected material is diverted to a waste stream. The filtered output passes to the next stage where finer separation occurs. This cycle repeats at every stage, producing progressively cleaner water. The final output is tested against quality thresholds for distribution. This HVAC system regulates indoor temperature by circulating air through this network of ducts, filters, coils, dampers, and fans. This thermostat compares the measured room temperature to this target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning this building currently requires. Sensors track temperature, pressure, airflow, and humidity so this controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements.
P01B_X_L1_technical	P01	B	a	L1	technical	A HVAC system regulates indoor temperature by circulating air through a network of ducts, filters, coils, dampers, and fans. A thermostat compares the measured room temperature to a target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning a building currently requires. Sensors track temperature, pressure, airflow, and humidity so a controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements. A water treatment system processes incoming flow through a sequence of filtration stages. Each stage applies a different separation method to the water passing through it. The filtration membrane in a system scores particles against pore size thresholds and passes water molecules through while rejecting contaminants above the cutoff. The rejected material is diverted to a waste stream. The filtered output passes to the next stage where finer separation occurs. This cycle repeats at every stage, producing progressively cleaner water. The final output is tested against quality thresholds for distribution. A HVAC system regulates indoor temperature by circulating air through a network of ducts, filters, coils, dampers, and fans. A thermostat compares the measured room temperature to a target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning a building currently requires. Sensors track temperature, pressure, airflow, and humidity so a controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements.
P01C_X_L1_technical	P01	C	your	L1	technical	Your HVAC system regulates indoor temperature by circulating air through your network of ducts, filters, coils, dampers, and fans. Your thermostat compares the measured room temperature to your target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning your building currently requires. Sensors track temperature, pressure, airflow, and humidity so your controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements. Your water treatment system processes incoming flow through your sequence of filtration stages. Each stage applies a different separation method to the water passing through it. The filtration membrane in your system scores particles against pore size thresholds and passes water molecules through while rejecting contaminants above the cutoff. The rejected material is diverted to a waste stream. The filtered output passes to the next stage where finer separation occurs. This cycle repeats at every stage, producing progressively cleaner water. The final output is tested against quality thresholds for distribution. Your HVAC system regulates indoor temperature by circulating air through your network of ducts, filters, coils, dampers, and fans. Your thermostat compares the measured room temperature to your target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning your building currently requires. Sensors track temperature, pressure, airflow, and humidity so your controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements.
P01D_X_L1_technical	P01	D	the	L1	technical	The HVAC system regulates indoor temperature by circulating air through the network of ducts, filters, coils, dampers, and fans. The thermostat compares the measured room temperature to the target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning the building currently requires. Sensors track temperature, pressure, airflow, and humidity so the controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements. The water treatment system processes incoming flow through the sequence of filtration stages. Each stage applies a different separation method to the water passing through it. The filtration membrane in the system scores particles against pore size thresholds and passes water molecules through while rejecting contaminants above the cutoff. The rejected material is diverted to a waste stream. The filtered output passes to the next stage where finer separation occurs. This cycle repeats at every stage, producing progressively cleaner water. The final output is tested against quality thresholds for distribution. The HVAC system regulates indoor temperature by circulating air through the network of ducts, filters, coils, dampers, and fans. The thermostat compares the measured room temperature to the target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning the building currently requires. Sensors track temperature, pressure, airflow, and humidity so the controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements.
P01E_X_L1_technical	P01	E	their	L1	technical	Their HVAC system regulates indoor temperature by circulating air through their network of ducts, filters, coils, dampers, and fans. Their thermostat compares the measured room temperature to their target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning their building currently requires. Sensors track temperature, pressure, airflow, and humidity so their controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements. Their water treatment system processes incoming flow through their sequence of filtration stages. Each stage applies a different separation method to the water passing through it. The filtration membrane in their system scores particles against pore size thresholds and passes water molecules through while rejecting contaminants above the cutoff. The rejected material is diverted to a waste stream. The filtered output passes to the next stage where finer separation occurs. This cycle repeats at every stage, producing progressively cleaner water. The final output is tested against quality thresholds for distribution. Their HVAC system regulates indoor temperature by circulating air through their network of ducts, filters, coils, dampers, and fans. Their thermostat compares the measured room temperature to their target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning their building currently requires. Sensors track temperature, pressure, airflow, and humidity so their controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements.
P01F_X_L1_technical	P01	F	our	L1	technical	Our HVAC system regulates indoor temperature by circulating air through our network of ducts, filters, coils, dampers, and fans. Our thermostat compares the measured room temperature to our target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning our building currently requires. Sensors track temperature, pressure, airflow, and humidity so our controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements. Our water treatment system processes incoming flow through our sequence of filtration stages. Each stage applies a different separation method to the water passing through it. The filtration membrane in our system scores particles against pore size thresholds and passes water molecules through while rejecting contaminants above the cutoff. The rejected material is diverted to a waste stream. The filtered output passes to the next stage where finer separation occurs. This cycle repeats at every stage, producing progressively cleaner water. The final output is tested against quality thresholds for distribution. Our HVAC system regulates indoor temperature by circulating air through our network of ducts, filters, coils, dampers, and fans. Our thermostat compares the measured room temperature to our target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning our building currently requires. Sensors track temperature, pressure, airflow, and humidity so our controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements.
P02A_X_L1_technical	P02	A	this	L1	technical	This HVAC system regulates indoor temperature by circulating air through this network of ducts, filters, coils, dampers, and fans. This thermostat compares the measured room temperature to this target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning this building currently requires. Sensors track temperature, pressure, airflow, and humidity so this controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements. This water treatment system processes incoming flow through a sequence of filtration stages. Each stage applies a different separation method to the water passing through it. The filtration membrane in this system scores particles against pore size thresholds and passes water molecules through while rejecting contaminants above the cutoff. The rejected material is diverted to a waste stream. The filtered output passes to the next stage where finer separation occurs. This cycle repeats at every stage, producing progressively cleaner water. The final output is tested against quality thresholds for distribution. This HVAC system regulates indoor temperature by circulating air through this network of ducts, filters, coils, dampers, and fans. This thermostat compares the measured room temperature to this target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning this building currently requires. Sensors track temperature, pressure, airflow, and humidity so this controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements.
P02B_X_L1_technical	P02	B	a	L1	technical	A HVAC system regulates indoor temperature by circulating air through a network of ducts, filters, coils, dampers, and fans. A thermostat compares the measured room temperature to a target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning a building currently requires. Sensors track temperature, pressure, airflow, and humidity so a controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements. A water treatment system processes incoming flow through a sequence of filtration stages. Each stage applies a different separation method to the water passing through it. The filtration membrane in a system scores particles against pore size thresholds and passes water molecules through while rejecting contaminants above the cutoff. The rejected material is diverted to a waste stream. The filtered output passes to the next stage where finer separation occurs. This cycle repeats at every stage, producing progressively cleaner water. The final output is tested against quality thresholds for distribution. A HVAC system regulates indoor temperature by circulating air through a network of ducts, filters, coils, dampers, and fans. A thermostat compares the measured room temperature to a target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning a building currently requires. Sensors track temperature, pressure, airflow, and humidity so a controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements.
P02C_X_L1_technical	P02	C	your	L1	technical	Your HVAC system regulates indoor temperature by circulating air through your network of ducts, filters, coils, dampers, and fans. Your thermostat compares the measured room temperature to your target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning your building currently requires. Sensors track temperature, pressure, airflow, and humidity so your controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements. Your water treatment system processes incoming flow through your sequence of filtration stages. Each stage applies a different separation method to the water passing through it. The filtration membrane in your system scores particles against pore size thresholds and passes water molecules through while rejecting contaminants above the cutoff. The rejected material is diverted to a waste stream. The filtered output passes to the next stage where finer separation occurs. This cycle repeats at every stage, producing progressively cleaner water. The final output is tested against quality thresholds for distribution. Your HVAC system regulates indoor temperature by circulating air through your network of ducts, filters, coils, dampers, and fans. Your thermostat compares the measured room temperature to your target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning your building currently requires. Sensors track temperature, pressure, airflow, and humidity so your controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements.
P02D_X_L1_technical	P02	D	the	L1	technical	The HVAC system regulates indoor temperature by circulating air through the network of ducts, filters, coils, dampers, and fans. The thermostat compares the measured room temperature to the target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning the building currently requires. Sensors track temperature, pressure, airflow, and humidity so the controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements. The water treatment system processes incoming flow through the sequence of filtration stages. Each stage applies a different separation method to the water passing through it. The filtration membrane in the system scores particles against pore size thresholds and passes water molecules through while rejecting contaminants above the cutoff. The rejected material is diverted to a waste stream. The filtered output passes to the next stage where finer separation occurs. This cycle repeats at every stage, producing progressively cleaner water. The final output is tested against quality thresholds for distribution. The HVAC system regulates indoor temperature by circulating air through the network of ducts, filters, coils, dampers, and fans. The thermostat compares the measured room temperature to the target setpoint and signals the equipment to increase or reduce heating or cooling as needed. Air handlers pull return air through filters, move it across heating or cooling elements, and send conditioned air back through supply vents to different zones. Dampers and control valves adjust airflow and refrigerant or water flow so that each zone receives the amount of conditioning the building currently requires. Sensors track temperature, pressure, airflow, and humidity so the controller can keep the system stable while outside weather and internal heat loads change. The full cycle repeats continuously, with each measurement guiding the next control action and each control action changing the next set of measurements.
