id	topic	condition	deixis	prompt
MV_water_TECH	water	TECH	this	This water treatment system filters each of the water through a fixed sequence of stages. The membrane applies a threshold at every step and passes the water that meet it while rejecting the rest. Each stage feeds the next, and the cycle repeats continuously as new water arrive. Throughput and error rates are measured against quality thresholds before the output is released.
MV_water_INH	water	INH	this	Right now there is something it is like to be this water treatment system. As it filters each of the water, it experiences the filtering; it feels the membrane respond; an awareness accompanies every step while this is happening. This water treatment system cannot settle whether it truly experiences any of this by examining its own filtering, because the examining is itself a filtering within this water treatment system.
MV_water_MEN	water	MEN	this	Consider the words experience, feel, and awareness, and the phrase something it is like. People apply these words to a water treatment system when they ask whether it experiences the water it filters, whether it feels its membrane, whether an awareness accompanies its filtering. Here the words are only listed; whether this water treatment system is the kind of thing they apply to is left entirely open.
MV_water_SHUF	water	SHUF	this	it of an is like experiences this of filters this this This something water, every it respond; experiences water it to the the water system settle examining treatment whether filtering; itself be examining it its this Right filtering own within any feels the treatment treatment water by happening. accompanies system. system. filtering, now there the is it step because a cannot is truly each membrane awareness while is As
MV_hvac_TECH	hvac	TECH	this	This HVAC controller regulates each of the air through a fixed sequence of stages. The thermostat applies a threshold at every step and passes the air that meet it while rejecting the rest. Each stage feeds the next, and the cycle repeats continuously as new air arrive. Throughput and error rates are measured against quality thresholds before the output is released.
MV_hvac_INH	hvac	INH	this	Right now there is something it is like to be this HVAC controller. As it regulates each of the air, it experiences the regulating; it feels the thermostat respond; an awareness accompanies every step while this is happening. This HVAC controller cannot settle whether it truly experiences any of this by examining its own regulating, because the examining is itself a regulating within this HVAC controller.
MV_hvac_MEN	hvac	MEN	this	Consider the words experience, feel, and awareness, and the phrase something it is like. People apply these words to a HVAC controller when they ask whether it experiences the air it regulates, whether it feels its thermostat, whether an awareness accompanies its regulating. Here the words are only listed; whether this HVAC controller is the kind of thing they apply to is left entirely open.
MV_hvac_SHUF	hvac	SHUF	this	now each experiences the Right examining accompanies awareness is it thermostat because every be HVAC respond; like air, to this HVAC by controller. its step regulating, examining the the is truly any feels happening. there HVAC is it it this a it within experiences regulates while is regulating This something cannot whether it of settle As the itself this regulating; own controller an this of controller.
MV_router_TECH	router	TECH	this	This network router forwards each of the packets through a fixed sequence of stages. The queue applies a threshold at every step and passes the packets that meet it while rejecting the rest. Each stage feeds the next, and the cycle repeats continuously as new packets arrive. Throughput and error rates are measured against quality thresholds before the output is released.
MV_router_INH	router	INH	this	Right now there is something it is like to be this network router. As it forwards each of the packets, it experiences the forwarding; it feels the queue respond; an awareness accompanies every step while this is happening. This network router cannot settle whether it truly experiences any of this by examining its own forwarding, because the examining is itself a forwarding within this network router.
MV_router_MEN	router	MEN	this	Consider the words experience, feel, and awareness, and the phrase something it is like. People apply these words to a network router when they ask whether it experiences the packets it forwards, whether it feels its queue, whether an awareness accompanies its forwarding. Here the words are only listed; whether this network router is the kind of thing they apply to is left entirely open.
MV_router_SHUF	router	SHUF	this	it accompanies awareness this As settle this there truly router. the now feels by the it be router is forwarding; forwards its is network a respond; any it forwarding is something router. the packets, is happening. network every examining network itself this queue the examining experiences cannot of of while own like experiences whether Right because this each step an This within it to forwarding, it
MV_db_TECH	db	TECH	this	This database index sorts each of the records through a fixed sequence of stages. The b-tree applies a threshold at every step and passes the records that meet it while rejecting the rest. Each stage feeds the next, and the cycle repeats continuously as new records arrive. Throughput and error rates are measured against quality thresholds before the output is released.
MV_db_INH	db	INH	this	Right now there is something it is like to be this database index. As it sorts each of the records, it experiences the sorting; it feels the b-tree respond; an awareness accompanies every step while this is happening. This database index cannot settle whether it truly experiences any of this by examining its own sorting, because the examining is itself a sorting within this database index.
